lang,taille_vocab,tailles_phrase,longueur_mots,taux_non_projectivite,nombre_moyen_dep,longueur_moyenne_dep,longueur_moyenne_max_dep,las,uas,Score
da,3545,15.71,7.62,0.2,10.77,3.15,4.56,66.18,73.06,
hr,3974,19.2,7.65,0.08,13.06,3.64,5.59,58.88,69.67,0.49
id,3580,18.72,7.4,0.04,12.64,3.66,5.59,69.99,75.63,0.26
ar,5304,36.68,6.43,0.09,17.07,5.04,7.83,60.88,69.78,0.39
eu,2772,11.39,7.31,0.34,7.26,2.76,4.01,47.94,58.17,0.52
it,3354,20.23,8.06,0.05,13.34,3.49,5.11,74.82,81.01,
nno,2161,14.9,7.42,0.08,10.87,3.11,4.59,73.58,78.3,
fa,3904,24.02,5.42,0.07,14.64,3.78,6.11,47.7,56.17,0.46
es,3424,25.63,7.58,0.08,17.69,3.93,5.94,66.09,71.01,0.53
ro,3767,20.01,7.01,0.12,13.52,3.75,5.75,57.23,68.61,
de,4121,16.38,9.1,0.11,11.5,3.18,4.52,58.12,64.19,0.49
hi,2453,19.43,5.33,0.14,12.14,3.44,5.0,64.03,72.54,0.54
zh,4289,21.62,1.99,0.0,15.34,3.45,5.25,46.76,55.6,0.39
lv,3359,11.68,7.34,0.08,8.39,2.98,4.15,51.46,59.32,0.53
he,6050,29.75,5.16,0.01,15.49,3.99,6.18,64.82,70.06,0.48
ko,10283,10.42,3.63,0.12,5.72,3.39,4.55,46.06,55.0,0.49
ja,4034,20.18,2.51,0.0,14.74,3.54,5.36,71.54,82.71,0.46
ca,2904,27.82,7.41,0.09,18.93,3.99,6.13,64.79,71.13,
en,3375,14.61,6.57,0.08,10.32,3.07,4.4,66.57,71.22,0.42
pt,3980,23.93,7.5,0.13,15.18,3.75,5.55,70.84,74.55,
et,3683,8.71,7.31,0.09,6.55,2.56,3.4,59.04,73.09,
fr,3351,23.27,7.53,0.12,15.5,3.61,5.43,68.4,73.46,0.51
el,2734,21.28,7.86,0.11,13.76,3.82,5.63,69.96,76.58,0.53
pl,4762,8.51,7.79,0.01,6.09,2.85,3.9,68.76,80.69,0.49
sv,4451,14.83,7.66,0.11,9.79,3.11,4.51,64.52,71.11,0.47
cs,4875,15.52,7.35,0.13,10.22,3.45,5.02,69.77,77.4,0.49
nl,3552,12.52,7.62,0.27,7.73,2.82,3.75,54.92,63.69,
hu,3677,19.69,8.05,0.23,12.5,3.37,5.1,57.21,69.24,0.38
nob,2155,13.1,7.41,0.08,9.42,3.05,4.42,66.22,73.93,
bg,3736,11.68,7.8,0.03,8.4,3.19,4.42,68.08,78.14,0.49
vi,1798,12.36,3.42,0.02,8.81,3.1,4.68,48.4,49.62,0.26
sl,4219,13.38,7.3,0.14,9.34,2.97,4.2,49.46,61.51,0.49
